id,name,city,region,category,brand,brand_group,keys,year_opened,year_opened_verified,status,lat,lng,owner,data_quality,notes
312,Dakhla South Bay,Dakhla,Dakhla-Oued Ed-Dahab,Luxury,Independent,Independent Luxury,27,2019,,Open,23.6789,-15.9612,Undisclosed,verified,
313,Westpoint Dakhla,Dakhla,Dakhla-Oued Ed-Dahab,Upscale,Independent,Independent Upscale,40,2016,,Open,23.6856,-15.9545,Undisclosed,verified,
314,Heure Bleue Palais Relais & Châteaux Essaouira,Essaouira,Marrakech-Safi,Luxury,Relais & Châteaux,Independent Luxury,33,2006,,Open,31.5134,-9.7689,Undisclosed,verified,
315,Hotel Le Golf d'Essaouira,Essaouira,Marrakech-Safi,Upscale,Independent,Independent Upscale,135,2010,,Open,31.5089,-9.7456,Undisclosed,verified,
316,Le Médina Essaouira Thalassa Sea & Spa MGallery Collection,Essaouira,Marrakech-Safi,Upper Upscale,MGallery,Accor,117,2011,verified,Open,31.5112,-9.7678,Risma,verified,
317,Atlas Essaouira Riad Resort,Essaouira,Marrakech-Safi,Upscale,Atlas Hotels,Atlas Hospitality Group,156,2008,verified,Open,31.5067,-9.7612,Undisclosed,verified,
318,Essaouira Wind Palace,Essaouira,Marrakech-Safi,Luxury,Independent,Independent Luxury,23,2015,,Open,31.5145,-9.7634,Undisclosed,verified,
319,Hotel Perce Neige Ifrane,Ifrane,Fès-Meknès,Upscale,Independent,Independent Upscale,26,1985,,Open,33.5334,-5.1089,Undisclosed,verified,
320,Michlifen Resort and Golf Ifrane,Ifrane,Fès-Meknès,Luxury,Independent,Independent Luxury,71,2009,,Open,33.5312,-5.1112,Undisclosed,verified,
321,Farah Inn Ifrane,Ifrane,Fès-Meknès,Upscale,Independent,Farah Hotels,177,1998,verified,Open,33.5356,-5.1067,Undisclosed,verified,
322,Zephyr Ifrane,Ifrane,Fès-Meknès,Upscale,Independent,Independent Upscale,148,2018,,Open,33.5289,-5.1134,Undisclosed,verified,
323,Residence Ifrane Palace,Ifrane,Fès-Meknès,Upscale,Independent,Independent Upscale,45,2012,,Open,33.5367,-5.1045,Undisclosed,verified,
324,Hotel Vitality Terminus Kenitra,Kenitra,Rabat-Salé-Kénitra,Upscale,Independent,Independent Upscale,58,2005,,Open,34.2612,-6.5789,Undisclosed,verified,
325,Town Hotel Kenitra,Kenitra,Rabat-Salé-Kénitra,Midscale,Independent,Independent Midscale,18,2012,,Open,34.2634,-6.5812,Undisclosed,verified,
326,Relax Hotel Kenitra,Kenitra,Rabat-Salé-Kénitra,Upscale,Independent,Independent Upscale,60,2010,,Open,34.2589,-6.5834,Undisclosed,verified,
327,Razane Hotel Kenitra,Kenitra,Rabat-Salé-Kénitra,Midscale,Independent,Independent Midscale,20,2015,,Open,34.2601,-6.5801,Undisclosed,verified,
328,JB Apartment Hotel Kenitra,Kenitra,Rabat-Salé-Kénitra,Midscale,Independent,Independent Midscale,18,2018,,Open,34.2623,-6.5778,Undisclosed,verified,
329,Hotel Jacaranda Kenitra,Kenitra,Rabat-Salé-Kénitra,Upscale,Independent,Independent Upscale,89,1998,,Open,34.2578,-6.5856,Undisclosed,verified,
330,Hotel Mamora Kenitra,Kenitra,Rabat-Salé-Kénitra,Midscale,Independent,Independent Midscale,69,1990,,Open,34.2567,-6.5867,Undisclosed,verified,
331,Hotel d'Europe Kenitra,Kenitra,Rabat-Salé-Kénitra,Midscale,Independent,Independent Midscale,20,1975,,Open,34.2645,-6.5767,Undisclosed,verified,
332,Urban Hotel and Spa Kenitra,Kenitra,Rabat-Salé-Kénitra,Upscale,Independent,Independent Upscale,58,2019,,Open,34.2556,-6.5878,Undisclosed,verified,
333,Hotel Al Massira Laayoune,Laayoune,Laâyoune-Sakia El Hamra,Upscale,Independent,Independent Upscale,103,2000,,Open,27.1534,-13.2012,Undisclosed,verified,
334,Parador Laayoune,Laayoune,Laâyoune-Sakia El Hamra,Upscale,Independent,Independent Upscale,100,1998,,Open,27.1512,-13.2034,Undisclosed,verified,
335,Sahariano Hotel City Center Laayoune,Laayoune,Laâyoune-Sakia El Hamra,Midscale,Independent,Independent Midscale,39,2010,,Open,27.1556,-13.1989,Undisclosed,verified,
336,Sahara Line Hotel Laayoune,Laayoune,Laâyoune-Sakia El Hamra,Midscale,Independent,Independent Midscale,25,2015,,Open,27.1578,-13.1967,Undisclosed,verified,
337,San Mao Sahara Hotel Laayoune,Laayoune,Laâyoune-Sakia El Hamra,Midscale,Independent,Independent Midscale,18,2018,,Open,27.1489,-13.2056,Undisclosed,verified,
338,Merzouga Lantern Luxury Camp,Merzouga,Drâa-Tafilalet,Luxury,Independent,Independent Luxury,10,2015,,Open,31.0801,-4.0134,Undisclosed,verified,
339,Merzouga VIP Luxury Camp,Merzouga,Drâa-Tafilalet,Luxury,Independent,Independent Luxury,10,2016,,Open,31.0789,-4.0156,Undisclosed,verified,
340,Merzouga White Camp,Merzouga,Drâa-Tafilalet,Luxury,Independent,Independent Luxury,10,2017,,Open,31.0812,-4.0112,Undisclosed,verified,
341,Kalimba Luxury Desert Camp Merzouga,Merzouga,Drâa-Tafilalet,Luxury,Independent,Independent Luxury,9,2018,,Open,31.0778,-4.0178,Undisclosed,verified,
342,Riad La Luna Merzouga,Merzouga,Drâa-Tafilalet,Luxury,Independent,Independent Luxury,11,2010,,Open,31.0823,-4.0089,Undisclosed,verified,
343,Les Pyramides Merzouga Camp,Merzouga,Drâa-Tafilalet,Upscale,Independent,Independent Upscale,6,2012,,Open,31.0756,-4.0201,Undisclosed,verified,
344,Hotel Afriquia Oujda,Oujda,Oriental,Midscale,Independent,Independent Midscale,14,2010,,Open,34.6867,-1.9134,Undisclosed,verified,
345,Hotel Aswan Oujda,Oujda,Oriental,Midscale,Independent,Independent Midscale,8,2015,,Open,34.6889,-1.9112,Undisclosed,verified,
346,Atlas Orient Oujda,Oujda,Oriental,Upscale,Atlas Hotels,Atlas Hospitality Group,105,,unverified,Open,34.6845,-1.9156,Undisclosed,verified,
347,Hotel des Lilas Oujda,Oujda,Oriental,Midscale,Independent,Independent Midscale,46,1998,,Open,34.6901,-1.9089,Undisclosed,verified,
348,Hotel Royal Oujda,Oujda,Oriental,Midscale,Independent,Independent Midscale,50,1985,,Open,34.6878,-1.9101,Undisclosed,verified,
349,Ibis Oujda,Oujda,Oriental,Midscale,Ibis,Accor,74,1993,verified,Open,34.6834,-1.9178,Risma,verified,
350,Terminus City Center Oujda,Oujda,Oriental,Upscale,Independent,Independent Upscale,80,2008,,Open,34.6856,-1.9123,Undisclosed,verified,
351,Relax Hotel Oujda,Oujda,Oriental,Upscale,Independent,Independent Upscale,60,2014,,Open,34.6823,-1.9189,Undisclosed,verified,
352,The St. Regis La Bahia Blanca Resort Tamuda Bay,Tamuda Bay / Tétouan,Tanger-Tétouan-Al Hoceima,Luxury,St. Regis,Marriott International,100,2024,verified,Open,35.6934,-5.3456,Undisclosed,verified,
353,Sofitel Tamuda Bay Beach and Spa,Tamuda Bay / Tétouan,Tanger-Tétouan-Al Hoceima,Upper Upscale,Sofitel,Accor,104,2016,verified,Open,35.6912,-5.3389,Madaëf,verified,
354,Hôtel Tamuda Beach,Tamuda Bay / Tétouan,Tanger-Tétouan-Al Hoceima,Upscale,Independent,Independent Upscale,83,2008,,Open,35.6889,-5.3412,Undisclosed,verified,
355,Royal Mansour Tamuda Bay,Tamuda Bay / Tétouan,Tanger-Tétouan-Al Hoceima,Ultra Luxury,Royal Mansour,Royal Mansour Collection,55,2023,,Open,35.6956,-5.3334,Royal Mansour Brand,verified,
356,Hotel Kabila Tamuda Bay,Tamuda Bay / Tétouan,Tanger-Tétouan-Al Hoceima,Upscale,Independent,Independent Upscale,96,2005,,Open,35.6867,-5.3478,Undisclosed,verified,
357,Prestige Hotel Tétouan,Tamuda Bay / Tétouan,Tanger-Tétouan-Al Hoceima,Upscale,Independent,Independent Upscale,60,2008,,Open,35.5689,-5.3712,Undisclosed,verified,
358,Hotel La Paloma Tétouan,Tamuda Bay / Tétouan,Tanger-Tétouan-Al Hoceima,Upscale,Independent,Independent Upscale,110,2005,,Open,35.5712,-5.3689,Undisclosed,verified,
359,Soho Boutique Tétouan,Tamuda Bay / Tétouan,Tanger-Tétouan-Al Hoceima,Upscale,Soho Boutique,Independent Upscale,59,2018,,Open,35.5734,-5.3667,Undisclosed,verified,
360,Aurea Hotel Tétouan,Tamuda Bay / Tétouan,Tanger-Tétouan-Al Hoceima,Upscale,Independent,Independent Upscale,63,2015,,Open,35.5678,-5.3734,Undisclosed,verified,
361,Hotel Regina Tétouan,Tamuda Bay / Tétouan,Tanger-Tétouan-Al Hoceima,Midscale,Independent,Independent Midscale,56,1995,,Open,35.5701,-5.3701,Undisclosed,verified,
362,Dreams Hotel Tétouan,Tamuda Bay / Tétouan,Tanger-Tétouan-Al Hoceima,Upscale,Independent,Independent Upscale,130,2019,,Open,35.5656,-5.3756,Undisclosed,verified,
363,Hotel Al Mandari Tétouan,Tamuda Bay / Tétouan,Tanger-Tétouan-Al Hoceima,Upscale,Independent,Independent Upscale,32,2012,,Open,35.5723,-5.3678,Undisclosed,verified,
364,Atenas Hotel Tétouan,Tamuda Bay / Tétouan,Tanger-Tétouan-Al Hoceima,Upscale,Independent,Independent Upscale,80,2010,,Open,35.5645,-5.3767,Undisclosed,verified,
365,Ramada Encore by Wyndham Tangier,Tanger,Tanger-Tétouan-Al Hoceima,Upscale,Ramada Encore,Wyndham Hotels & Resorts,195,2018,,Open,35.7698,-5.8334,Undisclosed,verified,
366,City Bleu Tanger,Tanger,Tanger-Tétouan-Al Hoceima,Upscale,Independent,Independent Upscale,27,2016,,Open,35.7712,-5.8312,Undisclosed,verified,
367,Fairmont Tazi Palace Tangier,Tanger,Tanger-Tétouan-Al Hoceima,Luxury,Fairmont,Accor,133,2022,verified,Open,35.7756,-5.8289,Undisclosed,verified,
368,Hotel Ben Batouta Tanger,Tanger,Tanger-Tétouan-Al Hoceima,Upscale,Independent,Independent Upscale,53,2010,,Open,35.7689,-5.8356,Undisclosed,verified,
369,Hotel Palace Tanger,Tanger,Tanger-Tétouan-Al Hoceima,Midscale,Independent,Independent Midscale,34,2005,,Open,35.7723,-5.8267,Undisclosed,verified,
370,Hôtel Mauritania Centre Tangier,Tanger,Tanger-Tétouan-Al Hoceima,Midscale,Independent,Independent Midscale,26,1998,,Open,35.7734,-5.8245,Undisclosed,verified,
371,Idou Malabata Beach and Spa Tanger,Tanger,Tanger-Tétouan-Al Hoceima,Upper Upscale,Independent,Independent Upper Upscale,159,2012,,Open,35.7834,-5.8089,Undisclosed,verified,
372,Occidental Tanger,Tanger,Tanger-Tétouan-Al Hoceima,Upper Upscale,Occidental Hotels,Barceló Hotel Group,170,2024,verified,Open,35.7812,-5.8112,Undisclosed,verified,
373,Pestana Tanger,Tanger,Tanger-Tétouan-Al Hoceima,Upper Upscale,Pestana,Pestana Hotel Group,120,2019,,Open,35.7789,-5.8134,Undisclosed,verified,
374,Hotel Astoria Tanger,Tanger,Tanger-Tétouan-Al Hoceima,Midscale,Independent,Independent Midscale,29,1990,,Open,35.7701,-5.8378,Undisclosed,verified,
375,Flamant Rose Appart Hôtel Tanger,Tanger,Tanger-Tétouan-Al Hoceima,Upscale,Independent,Independent Upscale,70,2015,,Open,35.7678,-5.8401,Undisclosed,verified,
376,Hotel Miramar Tanger,Tanger,Tanger-Tétouan-Al Hoceima,Midscale,Independent,Independent Midscale,40,1985,,Open,35.7745,-5.8223,Undisclosed,verified,
377,Hotel El Djenina Tanger,Tanger,Tanger-Tétouan-Al Hoceima,Midscale,Independent,Independent Midscale,71,2000,,Open,35.7756,-5.8201,Undisclosed,verified,
378,Dar Omar Khayam Tanger,Tanger,Tanger-Tétouan-Al Hoceima,Luxury,Independent,Independent Luxury,25,2008,,Open,35.7823,-5.8067,Undisclosed,verified,
379,Hotel Etoile du Nord Tanger,Tanger,Tanger-Tétouan-Al Hoceima,Midscale,Independent,Independent Midscale,39,1995,,Open,35.7767,-5.8178,Undisclosed,verified,
380,Mnar Castle Apartments Tanger,Tanger,Tanger-Tétouan-Al Hoceima,Upscale,Independent,Independent Upscale,66,2017,,Open,35.7656,-5.8423,Undisclosed,verified,
381,Ibis Tanger City Center,Tanger,Tanger-Tétouan-Al Hoceima,Midscale,Ibis,Accor,196,2011,verified,Open,35.7698,-5.8334,Risma,verified,
382,Mandarin Palace Tanger,Tanger,Tanger-Tétouan-Al Hoceima,Upscale,Independent,Independent Upscale,58,2014,,Open,35.7634,-5.8445,Undisclosed,verified,
383,Hotel Rembrandt Tanger,Tanger,Tanger-Tétouan-Al Hoceima,Upscale,Independent,Independent Upscale,70,1945,,Open,35.7778,-5.8156,Undisclosed,verified,
384,SBN Suite Hôtel Tanger,Tanger,Tanger-Tétouan-Al Hoceima,Upscale,Independent,Independent Upscale,28,2019,,Open,35.7645,-5.8467,Undisclosed,verified,
385,Marina Bay City Center Tanger,Tanger,Tanger-Tétouan-Al Hoceima,Upper Upscale,Independent,Independent Upper Upscale,132,2020,,Open,35.7801,-5.8045,Undisclosed,verified,
386,Palais Zahia Tanger,Tanger,Tanger-Tétouan-Al Hoceima,Luxury,Independent,Independent Luxury,18,2010,,Open,35.7834,-5.8023,Undisclosed,verified,
387,Barcelo Tanger,Tanger,Tanger-Tétouan-Al Hoceima,Upper Upscale,Barceló,Barceló Hotel Group,200,2022,verified,Open,35.7589,-5.8489,Undisclosed,verified,Reopened under Barceló brand in 2022
388,Grand Hotel Villa de France Tanger,Tanger,Tanger-Tétouan-Al Hoceima,Luxury,Independent,Independent Luxury,58,2010,,Open,35.7845,-5.8001,Undisclosed,verified,
389,Hotel Farah Tanger,Tanger,Tanger-Tétouan-Al Hoceima,Upper Upscale,Independent,Farah Hotels,140,2010,verified,Open,35.7756,-5.8134,Undisclosed,verified,
390,Royal Tulip City Center Tanger,Tanger,Tanger-Tétouan-Al Hoceima,Upper Upscale,Royal Tulip,Louvre Hotels Group,218,2014,,Open,35.7623,-5.8512,Undisclosed,verified,
391,El Minzah Hotel Tanger,Tanger,Tanger-Tétouan-Al Hoceima,Luxury,Independent,Independent Luxury,130,1930,,Open,35.7789,-5.8156,Undisclosed,verified,
392,Kenzi Solazur Hotel Tanger,Tanger,Tanger-Tétouan-Al Hoceima,Upper Upscale,Kenzi Hotels,Kenzi Hotels Group,348,1974,verified,Open,35.7812,-5.8112,Kenzi Hotels Group,verified,
393,Hilton Garden Inn Tanger City Center,Tanger,Tanger-Tétouan-Al Hoceima,Upscale,Hilton Garden Inn,Hilton Hotels & Resorts,320,2016,verified,Open,35.7667,-5.8434,Undisclosed,verified,
394,Hilton Tangier City Center Hotel & Residences,Tanger,Tanger-Tétouan-Al Hoceima,Upper Upscale,Hilton,Hilton Hotels & Resorts,180,2017,verified,Open,35.7645,-5.8456,Undisclosed,verified,
395,Hotel El Toro Tanger,Tanger,Tanger-Tétouan-Al Hoceima,Midscale,Independent,Independent Midscale,27,2005,,Open,35.7712,-5.8312,Undisclosed,verified,
396,Villa Mirasol Tanger,Tanger,Tanger-Tétouan-Al Hoceima,Luxury,Independent,Independent Luxury,14,2012,,Open,35.7856,-5.7978,Undisclosed,verified,
397,RIMAS Appart Hôtel Tanger,Tanger,Tanger-Tétouan-Al Hoceima,Upscale,Independent,Independent Upscale,20,2018,,Open,35.7689,-5.8356,Undisclosed,verified,
398,Amelia Appart Hotel Tanger,Tanger,Tanger-Tétouan-Al Hoceima,Upscale,Independent,Independent Upscale,22,2019,,Open,35.7678,-5.8378,Undisclosed,verified,
399,Hôtel Tanger Centre Malabata,Tanger,Tanger-Tétouan-Al Hoceima,Upscale,Independent,Independent Upscale,152,2010,,Open,35.7823,-5.8089,Undisclosed,verified,
400,Suites by Le Rêve Tanger,Tanger,Tanger-Tétouan-Al Hoceima,Luxury,Independent,Independent Luxury,23,2015,,Open,35.7834,-5.8045,Undisclosed,verified,
401,Le Mirage Tanger,Tanger,Tanger-Tétouan-Al Hoceima,Luxury,Independent,Independent Luxury,53,2014,,Open,35.7845,-5.8023,Undisclosed,verified,
402,The View Rabat,Rabat / Salé / Témara,Rabat-Salé-Kénitra,Upscale,The View,Atlas Hospitality Group,145,2017,verified,Open,34.0089,-6.8334,Undisclosed,verified,
403,The View Bouznika,Rabat / Salé / Témara,Rabat-Salé-Kénitra,Upscale,The View,Atlas Hospitality Group,130,2021,verified,Open,33.7834,-7.1612,Undisclosed,verified,
404,Mia Hotel Agadir,Agadir / Taghazout,Souss-Massa,Upper Upscale,Mia Hotels,Mia Hotels,111,2023,verified,Open,30.4156,-9.5934,Undisclosed,verified,
405,Mia Hotel Agafay,Marrakech,Marrakech-Safi,Upper Upscale,Mia Hotels,Mia Hotels,50,2024,verified,Open,31.5234,-8.1456,Undisclosed,verified,
406,Mia Hotels Detroit Tanger,Tanger,Tanger-Tétouan-Al Hoceima,Upper Upscale,Mia Hotels,Mia Hotels,96,2023,verified,Open,35.7756,-5.8289,Undisclosed,verified,
407,Mia Hotels Dakhla,Dakhla,Dakhla-Oued Ed-Dahab,Upper Upscale,Mia Hotels,Mia Hotels,80,2024,verified,Open,23.6934,-15.9456,Undisclosed,verified,
408,Mia Hotels Mazagan Bay,El Jadida,Casablanca-Settat,Upper Upscale,Mia Hotels,Mia Hotels,52,2023,verified,Open,33.2456,-8.5234,Undisclosed,verified,
409,Mia Hotels Fes,Fes,Fès-Meknès,Upper Upscale,Mia Hotels,Mia Hotels,121,2023,verified,Open,34.0234,-5.0012,Undisclosed,verified,
410,Ibis Casablanca Abdelmoumen,Casablanca,Casablanca-Settat,Midscale,Ibis,Accor,157,2014,verified,Open,33.5834,-7.6289,Risma,verified,
411,Ibis Mohammedia,Casablanca,Casablanca-Settat,Midscale,Ibis,Accor,96,2018,verified,Open,33.6834,-7.3834,Risma,verified,
412,Radisson Residences Taghazout Bay,Agadir / Taghazout,Souss-Massa,Upper Upscale,Radisson,Radisson Hotel Group,208,2025,verified,Open,30.5234,-9.7034,Undisclosed,verified,
413,Menzeh Zalagh City Center Fes,Fes,Fès-Meknès,Upper Upscale,Zalagh,Zalagh Hotels Group,150,1988,verified,Open,34.0234,-5.0089,Undisclosed,verified,
414,Menzeh Zalagh 2 Boutique Hotel & Sky Fes,Fes,Fès-Meknès,Upper Upscale,Zalagh,Zalagh Hotels Group,130,,unverified,Open,34.0256,-5.0067,Undisclosed,verified,
415,La Tour Hassan Palace,Rabat / Salé / Témara,Rabat-Salé-Kénitra,Upper Upscale,Independent,Independent Upper Upscale,143,1914,verified,Open,34.0201,-6.8334,Undisclosed,verified,
416,Riu Tikida Garden Marrakech,Marrakech,Marrakech-Safi,Upscale,RIU,RIU Hotels & Resorts,259,1990,verified,Open,31.6334,-8.0089,Undisclosed,verified,
417,Riu Palace Tikida Taghazout,Agadir / Taghazout,Souss-Massa,Luxury,RIU,RIU Hotels & Resorts,504,2019,verified,Open,30.5289,-9.7089,Undisclosed,verified,
418,Grand Mogador Agdal Marrakech,Marrakech,Marrakech-Safi,Upper Upscale,Mogador Hotels,Mogador Hotels Group,610,2006,verified,Open,31.6156,-8.0234,Undisclosed,verified,
419,Grand Mogador Menara Marrakech,Marrakech,Marrakech-Safi,Upper Upscale,Mogador Hotels,Mogador Hotels Group,244,2012,verified,Open,31.6089,-8.0312,Undisclosed,verified,
420,Grand Mogador Aqua Resort Marrakech,Marrakech,Marrakech-Safi,Upper Upscale,Mogador Hotels,Mogador Hotels Group,404,2007,verified,Open,31.5934,-8.0456,Undisclosed,verified,Formerly Mogador Kasbah
421,Mogador Menzah Appart Hotel Marrakech,Marrakech,Marrakech-Safi,Upscale,Mogador Hotels,Mogador Hotels Group,196,2008,verified,Open,31.6234,-8.0178,Undisclosed,verified,
422,Grand Mogador Sea View Tanger,Tanger,Tanger-Tétouan-Al Hoceima,Upper Upscale,Mogador Hotels,Mogador Hotels Group,81,2012,verified,Open,35.7823,-5.8067,Undisclosed,verified,
423,Hyatt Regency Taghazout Bay,Agadir / Taghazout,Souss-Massa,Upper Upscale,Hyatt Regency,Hyatt Hotels Corporation,190,2021,verified,Open,30.5212,-9.7023,Undisclosed,verified,
